,unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_7mpf_4k6g,intersection_street_1,intersection_street_2,landmark,vehicle_type,closed_date,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,road_ramp,due_date,taxi_company_borough
0,59862745,2023-12-29T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11225,446 KINGSTON AVENUE,KINGSTON AVENUE,EMPIRE BOULEVARD,LEFFERTS AVENUE,ADDRESS,BROOKLYN,DSNY Garage,Open,If the abandoned vehicle meets the criteria to be classified as a derelict (i.e. junk) the Department of Sanitation (DSNY) will investigate and tag the vehicle within three business days.,2023-12-29T12:00:00.000,09 BROOKLYN,3013250001,BROOKLYN,1000129,181026,PHONE,Unspecified,BROOKLYN,40.66353703547772,-73.94276444853864,"{'latitude': '40.66353703547772', 'longitude': '-73.94276444853864', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13509,17,2,11,44,44,,,,,,,,,,,,
1,59863875,2023-12-29T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11203,489 TROY AVENUE,TROY AVENUE,EAST NEW YORK AVENUE,MAPLE STREET,ADDRESS,BROOKLYN,DSNY Garage,Open,If the abandoned vehicle meets the criteria to be classified as a derelict (i.e. junk) the Department of Sanitation (DSNY) will investigate and tag the vehicle within three business days.,2023-12-29T12:00:00.000,09 BROOKLYN,3048060001,BROOKLYN,1001654,180405,PHONE,Unspecified,BROOKLYN,40.6618296619228,-73.93726922000211,"{'latitude': '40.6618296619228', 'longitude': '-73.93726922000211', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16866,17,2,17,44,44,,,,,,,,,,,,
2,59863872,2023-12-29T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11213,1039 MONTGOMERY STREET,MONTGOMERY STREET,UTICA AVENUE,EAST NEW YORK AVENUE,ADDRESS,BROOKLYN,DSNY Garage,Open,If the abandoned vehicle meets the criteria to be classified as a derelict (i.e. junk) the Department of Sanitation (DSNY) will investigate and tag the vehicle within three business days.,2023-12-29T12:00:00.000,09 BROOKLYN,3014200068,BROOKLYN,1003590,181295,PHONE,Unspecified,BROOKLYN,40.664268497176835,-73.93028857347406,"{'latitude': '40.664268497176835', 'longitude': '-73.93028857347406', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17615,17,2,17,44,44,,,,,,,,,,,,
3,59867306,2023-12-29T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11213,1170 LINCOLN PLACE,LINCOLN PLACE,ALBANY AVENUE,TROY AVENUE,ADDRESS,BROOKLYN,DSNY Garage,Open,If the abandoned vehicle meets the criteria to be classified as a derelict (i.e. junk) the Department of Sanitation (DSNY) will investigate and tag the vehicle within three business days.,2023-12-29T12:00:00.000,08 BROOKLYN,3013880027,BROOKLYN,1001495,183419,PHONE,Unspecified,BROOKLYN,40.67010273131729,-73.93783460798147,"{'latitude': '40.67010273131729', 'longitude': '-73.93783460798147', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17615,16,2,48,49,49,,,,,,,,,,,,
4,59863871,2023-12-29T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11428,93-33 218 STREET,218 STREET,93 ROAD,94 AVENUE,ADDRESS,QUEENS VILLAGE,,Open,If the abandoned vehicle meets the criteria to be classified as a derelict (i.e. junk) the Department of Sanitation (DSNY) will investigate and tag the vehicle within three business days.,2023-12-29T12:00:00.000,13 QUEENS,4106980001,QUEENS,1056594,202036,PHONE,Unspecified,QUEENS,40.72092306280169,-73.73901254100694,"{'latitude': '40.72092306280169', 'longitude': '-73.73901254100694', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24337,63,3,16,63,63,,,,,,,,,,,,
5,59866141,2023-12-29T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11354,144-45 26 AVENUE,26 AVENUE,PARSONS BOULEVARD,146 STREET,ADDRESS,FLUSHING,,Open,If the abandoned vehicle meets the criteria to be classified as a derelict (i.e. junk) the Department of Sanitation (DSNY) will investigate and tag the vehicle within three business days.,2023-12-29T12:00:00.000,07 QUEENS,4047800059,QUEENS,1032949,221505,PHONE,Unspecified,QUEENS,40.77452222591762,-73.82417273207584,"{'latitude': '40.77452222591762', 'longitude': '-73.82417273207584', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13832,22,3,3,67,67,,,,,,,,,,,,
6,59866142,2023-12-29T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11436,115-35 144 STREET,144 STREET,115 AVENUE,116 AVENUE,ADDRESS,JAMAICA,,Open,If the abandoned vehicle meets the criteria to be classified as a derelict (i.e. junk) the Department of Sanitation (DSNY) will investigate and tag the vehicle within three business days.,2023-12-29T12:00:00.000,12 QUEENS,4119880047,QUEENS,1040093,187874,PHONE,Unspecified,QUEENS,40.68217134504112,-73.79865856678806,"{'latitude': '40.68217134504112', 'longitude': '-73.79865856678806', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24671,41,3,46,71,71,,,,,,,,,,,,
7,59865013,2023-12-29T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11213,712 CROWN STREET,CROWN STREET,SCHENECTADY AVENUE,UTICA AVENUE,ADDRESS,BROOKLYN,DSNY Garage,Open,If the abandoned vehicle meets the criteria to be classified as a derelict (i.e. junk) the Department of Sanitation (DSNY) will investigate and tag the vehicle within three business days.,2023-12-29T12:00:00.000,09 BROOKLYN,3014190006,BROOKLYN,1002613,181687,PHONE,Unspecified,BROOKLYN,40.665346530124594,-73.93380912094888,"{'latitude': '40.665346530124594', 'longitude': '-73.93380912094888', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17615,17,2,48,44,44,,,,,,,,,,,,
8,59866144,2023-12-29T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,,,,,,INTERSECTION,,DSNY Garage,Open,If the abandoned vehicle meets the criteria to be classified as a derelict (i.e. junk) the Department of Sanitation (DSNY) will investigate and tag the vehicle within three business days.,2023-12-29T12:00:00.000,09 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,KINGSTON AVENUE,KINGSTON AVENUE,,,,,,,,,,
9,59868399,2023-12-29T01:06:51.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10468,2754 CLAFLIN AVENUE,CLAFLIN AVENUE,WEST  195 STREET,WEST  197 STREET,ADDRESS,BRONX,,In Progress,,,08 BRONX,2032490065,BRONX,1011773,256475,PHONE,Unspecified,BRONX,40.87059620244032,-73.9004849474432,"{'latitude': '40.87059620244032', 'longitude': '-73.9004849474432', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11606,48,5,29,33,33,WEST  195 STREET,WEST  197 STREET,CLAFLIN AVENUE,,,,,,,,,
