,short_name,station_id,name,capacity,lat,lon,rental_uris.ios,rental_uris.android,region_id,date
0,5962.04,1846086362824884662,56 Ave & 92 St,25,40.73649,-73.86995,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,,2024-01-12 21:02:40
1,5216.06,06439006-11b6-44f0-8545-c9d39035f32a,Vesey St & Church St,48,40.71221958009051,-74.01047229766846,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
2,3373.01,1898751402035634700,E 51 St & Linden Blvd,0,40.65399,-73.92967,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,,2024-01-12 21:02:40
3,6450.12,66dc686c-0aca-11e7-82f6-3863bb44ef7c,8 Ave & W 33 St,96,40.751551,-73.993934,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
4,4214.04,1859088223746072684,Verona Pl & Fulton St,19,40.6803560840434,-73.9476791024208,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,,2024-01-12 21:02:40
5,5545.04,66dbec40-0aca-11e7-82f6-3863bb44ef7c,E 5 St & Ave C,55,40.72299208,-73.97995466,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
6,4680.05,a3d72b5b-9587-4f33-9722-c01e20a9b358,Bushwick Ave & Dekalb Ave,29,40.69502,-73.92825,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
7,4560.01,bcb08532-f0d5-4c0e-ad8a-4ddacc204791,Madison St & Evergreen Ave,18,40.69122,-73.91693,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
8,5146.03,837b7db3-55c6-4595-a497-834972631752,Stanhope St & Fairview Ave,17,40.70998,-73.91116,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
9,4651.02,66dbcd6c-0aca-11e7-82f6-3863bb44ef7c,Clinton Ave & Myrtle Ave,33,40.693261,-73.968896,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
10,8167.02,068b919c-f649-4091-8e12-ccf37191cad5,Wilkins Ave & Crotona Park E,19,40.835302,-73.895133,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,71,2024-01-12 21:02:40
