,unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_7mpf_4k6g,facility_type,intersection_street_1,intersection_street_2,landmark,closed_date,taxi_pick_up_location,vehicle_type
0,60453122,2024-03-01T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11357,20-34 CLINTONVILLE STREET,CLINTONVILLE STREET,20 ROAD,WILLETS POINT BOULEVARD,ADDRESS,WHITESTONE,Open,If the abandoned vehicle meets the criteria to be classified as a derelict (i.e. junk) the Department of Sanitation (DSNY) will investigate and tag the vehicle within three business days.,2024-03-01T12:00:00.000,07 QUEENS,4047530099,QUEENS,1038027,223414,PHONE,Unspecified,QUEENS,40.77973248059151,-73.80582344106942,"{'latitude': '40.77973248059151', 'longitude': '-73.80582344106942', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14192,22,3,20,67,67,,,,,,,
1,60449433,2024-03-01T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10470,685 EAST  240 STREET,EAST  240 STREET,RICHARDSON AVENUE,WHITE PLAINS ROAD,ADDRESS,BRONX,Open,If the abandoned vehicle meets the criteria to be classified as a derelict (i.e. junk) the Department of Sanitation (DSNY) will investigate and tag the vehicle within three business days.,2024-03-01T12:00:00.000,12 BRONX,2050830001,BRONX,1025141,268044,PHONE,Unspecified,BRONX,40.90229762556499,-73.85207964198338,"{'latitude': '40.90229762556499', 'longitude': '-73.85207964198338', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11608,29,5,40,30,30,,,,,,,
2,60454352,2024-03-01T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11207,290 LIBERTY AVENUE,LIBERTY AVENUE,WILLIAMS AVENUE,ALABAMA AVENUE,ADDRESS,BROOKLYN,Open,If the abandoned vehicle meets the criteria to be classified as a derelict (i.e. junk) the Department of Sanitation (DSNY) will investigate and tag the vehicle within three business days.,2024-03-01T12:00:00.000,05 BROOKLYN,3037000015,BROOKLYN,1012144,184832,PHONE,Unspecified,BROOKLYN,40.67395394936611,-73.89944089232726,"{'latitude': '40.67395394936611', 'longitude': '-73.89944089232726', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17214,45,2,37,47,47,DSNY Garage,,,,,,
3,60454273,2024-03-01T01:26:35.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11214,2251 83 STREET,83 STREET,BAY PARKWAY,23 AVENUE,ADDRESS,BROOKLYN,In Progress,,,11 BROOKLYN,3063190054,BROOKLYN,986777,158956,ONLINE,Unspecified,BROOKLYN,40.6029734463176,-73.9908997399686,"{'latitude': '40.6029734463176', 'longitude': '-73.9908997399686', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17616,1,2,45,37,37,,BAY PARKWAY,23 AVENUE,83 STREET,,,
4,60451725,2024-03-01T01:26:25.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11421,78-12 90 AVENUE,90 AVENUE,78 STREET,80 STREET,ADDRESS,WOODHAVEN,In Progress,,,09 QUEENS,4089580001,QUEENS,1022345,189899,ONLINE,Unspecified,QUEENS,40.687823676670995,-73.86263724250294,"{'latitude': '40.687823676670995', 'longitude': '-73.86263724250294', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24017,46,3,34,60,60,,78 STREET,80 STREET,90 AVENUE,,,
5,60449352,2024-03-01T01:25:40.000,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,10304,308 FRONT STREET,FRONT STREET,WAVE STREET,NAVY PIER COURT,ADDRESS,STATEN ISLAND,In Progress,,,01 STATEN ISLAND,5004890025,STATEN ISLAND,963544,168573,ONLINE,Unspecified,STATEN ISLAND,40.62934628066453,-74.07459614853029,"{'latitude': '40.62934628066453', 'longitude': '-74.07459614853029', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10691,4,1,13,74,74,,WAVE STREET,NAVY PIER COURT,FRONT STREET,,,
6,60453060,2024-03-01T01:23:33.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10029,128 EAST  108 STREET,EAST  108 STREET,PARK AVENUE,LEXINGTON AVENUE,ADDRESS,NEW YORK,In Progress,,,11 MANHATTAN,1016357501,MANHATTAN,999240,228473,PHONE,Unspecified,MANHATTAN,40.793768965432314,-73.94586313625102,"{'latitude': '40.793768965432314', 'longitude': '-73.94586313625102', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12426,7,4,35,14,14,,PARK AVENUE,LEXINGTON AVENUE,EAST  108 STREET,,,
7,60454139,2024-03-01T01:22:01.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11358,45-04 165 STREET,165 STREET,45 AVENUE,46 AVENUE,ADDRESS,FLUSHING,In Progress,,,07 QUEENS,4054430037,QUEENS,1039167,214717,PHONE,Unspecified,QUEENS,40.75585452385689,-73.80177823412367,"{'latitude': '40.75585452385689', 'longitude': '-73.80177823412367', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14193,22,3,3,67,67,,45 AVENUE,46 AVENUE,165 STREET,,,
8,60451879,2024-03-01T01:21:49.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10040,2561 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST  187 STREET,LAUREL HILL TERRACE,ADDRESS,NEW YORK,In Progress,,2024-03-01T02:07:41.000,12 MANHATTAN,1021490108,MANHATTAN,1004139,249657,MOBILE,Unspecified,MANHATTAN,40.85190335561317,-73.92810745791327,"{'latitude': '40.85190335561317', 'longitude': '-73.92810745791327', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13091,47,4,39,22,22,,WEST  187 STREET,LAUREL HILL TERRACE,AMSTERDAM AVENUE,,,
9,60455465,2024-03-01T01:21:23.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11691,125 BEACH   17 STREET,BEACH   17 STREET,BOARDWALK,SEAGIRT BOULEVARD,ADDRESS,FAR ROCKAWAY,In Progress,,2024-03-01T01:45:55.000,14 QUEENS,4156380001,QUEENS,1053344,155877,ONLINE,Unspecified,QUEENS,40.594253257596634,-73.75121009186816,"{'latitude': '40.594253257596634', 'longitude': '-73.75121009186816', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20529,51,3,47,59,59,,BOARDWALK,SEAGIRT BOULEVARD,BEACH   17 STREET,,,
